Category,Organization Name,Vacancies,Salary,Age Limit,Experience,Qualification,Post URL
Engineering,Madhya Pradesh Employee Selection Board MPESB,1,60000,18 - 40,1+,B.E/B.Tech,https://jobyaari.com/jobdetails/2667
Engineering,Madhya Pradesh Employee Selection Board MPESB,32,56100 - 177500,18 - 40,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2671
Engineering,MISHRA DHATU NIGAM LIMITED,19,CTC 10.08 Lacs,30,2+,B.E/B.Tech,https://jobyaari.com/jobdetails/2742
Engineering,MAHARASHTRA NATIONAL LAW UNIVERSITY MUMBAI(MNLU-MUMBAI),1,45000,18 - 32,1+,B.E/B.Tech,https://jobyaari.com/jobdetails/2733
Engineering,ENGINEERS INDIA LIMITED(EIL),28,96000,41,9+,B.E/B.Tech,https://jobyaari.com/jobdetails/2731
Engineering,ENGINEERS INDIA LIMITED(EIL),20,80000,37,5+,B.E/B.Tech,https://jobyaari.com/jobdetails/2730
Engineering,VISVA BHARATI UNIVERSITY(VBU),1,"Level 7, as per 7th CPC",35,5+,B.E/B.Tech,https://jobyaari.com/jobdetails/2704
Engineering,VISVA BHARATI UNIVERSITY(VBU),1,"Level 6, as per 7th CPC",35,1+,B.E/B.Tech,https://jobyaari.com/jobdetails/2705
Engineering,Andhra Pradesh Medical Services Recruitment Board (APMSRB),1,50000,40,3+,B.E/B.Tech,https://jobyaari.com/jobdetails/2699
Engineering,Institute of Banking Personnel Selection (IBPS),3907,Check Notification,18 - 30,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2612
Engineering,Institute of Banking Personnel Selection (IBPS),286,Check Notification,21 - 32,1+,B.E/B.Tech,https://jobyaari.com/jobdetails/2621
Engineering,Institute of Banking Personnel Selection (IBPS),199,Check Notification,21 - 40,5+,B.E/B.Tech,https://jobyaari.com/jobdetails/2629
Engineering,Institute of Banking Personnel Selection (IBPS),824,Check Notification,21 - 32,2+,B.E/B.Tech,https://jobyaari.com/jobdetails/2617
Engineering,Intelligence Bureau,394,25500 - 81100,18 - 27,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2579
Engineering,Goa Shipyard Limited,30,55000,32,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2553
Engineering,Goa Shipyard Limited,30,CTC 11.65 Lacs,28,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2550
Engineering,Indian Rare Earths Limited (IREL),4,Acc to Rules,18 - 25,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2536
Engineering,Anna University (AU Chennai),6,30000,Check Notification,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2508
Engineering,Uranium Corporation of India Limited (UCIL),14,40000,28,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/2492
Engineering,Indian Institute of Technology Mandi (IIT Mandi),1,75000,Check Notification,3+,B.E/B.Tech,https://jobyaari.com/jobdetails/2285
Engineering,Indian Institute of Technology Mandi (IIT Mandi),2,15000,Check Notification,Experience : Yes,B.E/B.Tech,https://jobyaari.com/jobdetails/2283
Engineering,Arunachal Pradesh Staff Selection Board (APSSB),1,29200 - 92300,18 - 35,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/1994
Engineering,Airport Authority of India,976,40000+HRA,27,Fresher,B.E/B.Tech,https://jobyaari.com/jobdetails/1856
Engineering,Satluj Jal Vidyut Nigam Limited (SJVN),10,23000,30,10+,Any Degree,https://jobyaari.com/jobdetails/2070
Engineering,National Capital Region Planning Board (NCRPB),1,44900 - 142400,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2418
Engineering,National Capital Region Planning Board (NCRPB),2,25500 - 81100,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2419
Engineering,Bihar Public Service Commission (BPSC),935,29200,21 - 37,Fresher,Any Degree,https://jobyaari.com/jobdetails/2576
Engineering,Indian Oil Corporation Limited (IOCL),537,Check Notification,18 - 24,Fresher,Any Degree,https://jobyaari.com/jobdetails/2584
Engineering,Institute of Banking Personnel Selection (IBPS),10277,24050 - 64480,20 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2594
Engineering,Institute of Banking Personnel Selection (IBPS),7842,Check Notification,18 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2598
Engineering,Central Council for Research in Ayurvedic Sciences (CCRAS),13,"Level 6, as per 7th CPC",30,Fresher,Any Degree,https://jobyaari.com/jobdetails/2638
Engineering,Central Council for Research in Ayurvedic Sciences (CCRAS),39,"Level 4, as per 7th CPC",27,Fresher,Any Degree,https://jobyaari.com/jobdetails/2650
Engineering,Central Council for Research in Ayurvedic Sciences (CCRAS),1,"Level 5, as per 7th CPC",30,3+,Any Degree,https://jobyaari.com/jobdetails/2659
Engineering,Andhra Pradesh Medical Services Recruitment Board (APMSRB),1,25000,30,3+,Any Degree,https://jobyaari.com/jobdetails/2692
Engineering,MAHARASHTRA NATIONAL LAW UNIVERSITY MUMBAI(MNLU-MUMBAI),1,50000,30 - 45,Fresher,Any Degree,https://jobyaari.com/jobdetails/2735
Science,Madhya Pradesh Employee Selection Board MPESB,56,22100 - 70000,18 - 40,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2663
Science,Madhya Pradesh Employee Selection Board MPESB,18,36200 - 114800,18 - 40,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2665
Science,Madhya Pradesh Employee Selection Board MPESB,5,28700 - 91300,18 - 40,Fresher,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/2670
Science,Madhya Pradesh Employee Selection Board MPESB,7,25300 - 80500,18 - 40,Fresher,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/2674
Science,Madhya Pradesh Employee Selection Board MPESB,2,19500 - 62000,18 - 40,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2675
Science,Madhya Pradesh Employee Selection Board MPESB,54,5200 - 20200,18 - 40,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2676
Science,REGIONAL INSTITUTE OF EDUCATION AJMER(RIE AJMER),1,54000,30,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2749
Science,MAHARASHTRA NATIONAL LAW UNIVERSITY MUMBAI(MNLU-MUMBAI),1,40000,18 - 32,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2737
Science,BANDA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY(BUAT),2,30000,21 - 45,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2723
Science,BANDA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY(BUAT),2,30000,21 - 45,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2724
Science,Andhra Pradesh Medical Services Recruitment Board (APMSRB),1,50000,40,5+,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2685
Science,Institute of Banking Personnel Selection (IBPS),3907,Check Notification,18 - 30,Fresher,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/2610
Science,Institute of Banking Personnel Selection (IBPS),824,Check Notification,21 - 32,2+,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/2618
Science,Institute of Banking Personnel Selection (IBPS),199,Check Notification,21 - 40,5+,"B.SC/B.SC(Hons),BS,Diploma",https://jobyaari.com/jobdetails/2633
Science,Intelligence Bureau,394,25500 - 81100,18 - 27,Fresher,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/2580
Science,Indian Rare Earths Limited (IREL),2,Acc to Rules,18 - 25,Fresher,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/2539
Science,Anna University (AU Chennai),2,20000,Check Notification,5+,Diploma,https://jobyaari.com/jobdetails/2506
Science,Uranium Corporation of India Limited (UCIL),20,29990,18 - 55,Fresher,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/2494
Science,Indian Veterinary Research Institute (IVRI),1,30000,21 - 45,Fresher,"B.SC/B.SC(Hons),BS",https://jobyaari.com/jobdetails/2466
Science,Himachal Pradesh Rajya Chayan Aayog (HPRCA),5,35600 - 112800,18 - 45,Fresher,Diploma,https://jobyaari.com/jobdetails/2360
Science,Arunachal Pradesh Staff Selection Board (APSSB),26,29200 - 92300,18 - 35,Fresher,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/1991
Science,All India Institute of Medical Sciences Rishikesh (AIIMS Rishikesh),1,25000,35,3+,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/1072
Science,All India Institute of Medical Sciences Bhubaneswar (AIIMS Bhubaneswar),2,36000,35,3+,B.SC/B.SC(Hons),https://jobyaari.com/jobdetails/1064
Science,Satluj Jal Vidyut Nigam Limited (SJVN),10,23000,30,10+,Any Degree,https://jobyaari.com/jobdetails/2070
Science,National Capital Region Planning Board (NCRPB),1,44900 - 142400,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2418
Science,National Capital Region Planning Board (NCRPB),2,25500 - 81100,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2419
Science,Bihar Public Service Commission (BPSC),935,29200,21 - 37,Fresher,Any Degree,https://jobyaari.com/jobdetails/2576
Science,Indian Oil Corporation Limited (IOCL),537,Check Notification,18 - 24,Fresher,Any Degree,https://jobyaari.com/jobdetails/2584
Science,Institute of Banking Personnel Selection (IBPS),10277,24050 - 64480,20 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2594
Science,Institute of Banking Personnel Selection (IBPS),7842,Check Notification,18 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2598
Science,Central Council for Research in Ayurvedic Sciences (CCRAS),13,"Level 6, as per 7th CPC",30,Fresher,Any Degree,https://jobyaari.com/jobdetails/2638
Science,Central Council for Research in Ayurvedic Sciences (CCRAS),39,"Level 4, as per 7th CPC",27,Fresher,Any Degree,https://jobyaari.com/jobdetails/2650
Science,Central Council for Research in Ayurvedic Sciences (CCRAS),1,"Level 5, as per 7th CPC",30,3+,Any Degree,https://jobyaari.com/jobdetails/2659
Science,Andhra Pradesh Medical Services Recruitment Board (APMSRB),1,25000,30,3+,Any Degree,https://jobyaari.com/jobdetails/2692
Science,MAHARASHTRA NATIONAL LAW UNIVERSITY MUMBAI(MNLU-MUMBAI),1,50000,30 - 45,Fresher,Any Degree,https://jobyaari.com/jobdetails/2735
Commerce,REGIONAL INSTITUTE OF EDUCATION AJMER(RIE AJMER),1,54000,30,Fresher,B.COM/B.COM(Hons),https://jobyaari.com/jobdetails/2747
Commerce,MAHARASHTRA NATIONAL LAW UNIVERSITY MUMBAI(MNLU-MUMBAI),1,40000,18 - 32,Fresher,B.COM/B.COM(Hons),https://jobyaari.com/jobdetails/2738
Commerce,Andhra Pradesh Medical Services Recruitment Board (APMSRB),1,75000,50,4+,"CA,ICWA/CMA",https://jobyaari.com/jobdetails/2689
Commerce,Institute of Banking Personnel Selection (IBPS),3907,Check Notification,18 - 30,Fresher,B.COM/B.COM(Hons),https://jobyaari.com/jobdetails/2614
Commerce,Institute of Banking Personnel Selection (IBPS),824,Check Notification,21 - 32,2+,B.COM/B.COM(Hons),https://jobyaari.com/jobdetails/2615
Commerce,Institute of Banking Personnel Selection (IBPS),286,Check Notification,21 - 32,1+,CA,https://jobyaari.com/jobdetails/2622
Commerce,Institute of Banking Personnel Selection (IBPS),199,Check Notification,21 - 40,5+,"B.COM/B.COM(Hons),Diploma",https://jobyaari.com/jobdetails/2634
Commerce,Indian Oil Corporation Limited (IOCL),537,Check Notification,18 - 24,Fresher,B.COM/B.COM(Hons),https://jobyaari.com/jobdetails/2583
Commerce,Goa Shipyard Limited,2,CTC 11.65 Lacs,28,Fresher,"CA,ICWA/CMA",https://jobyaari.com/jobdetails/2552
Commerce,Satluj Jal Vidyut Nigam Limited (SJVN),10,23000,30,10+,Any Degree,https://jobyaari.com/jobdetails/2070
Commerce,National Capital Region Planning Board (NCRPB),1,44900 - 142400,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2418
Commerce,National Capital Region Planning Board (NCRPB),2,25500 - 81100,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2419
Commerce,Bihar Public Service Commission (BPSC),935,29200,21 - 37,Fresher,Any Degree,https://jobyaari.com/jobdetails/2576
Commerce,Indian Oil Corporation Limited (IOCL),537,Check Notification,18 - 24,Fresher,Any Degree,https://jobyaari.com/jobdetails/2584
Commerce,Institute of Banking Personnel Selection (IBPS),10277,24050 - 64480,20 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2594
Commerce,Institute of Banking Personnel Selection (IBPS),7842,Check Notification,18 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2598
Commerce,Central Council for Research in Ayurvedic Sciences (CCRAS),13,"Level 6, as per 7th CPC",30,Fresher,Any Degree,https://jobyaari.com/jobdetails/2638
Commerce,Central Council for Research in Ayurvedic Sciences (CCRAS),39,"Level 4, as per 7th CPC",27,Fresher,Any Degree,https://jobyaari.com/jobdetails/2650
Commerce,Central Council for Research in Ayurvedic Sciences (CCRAS),1,"Level 5, as per 7th CPC",30,3+,Any Degree,https://jobyaari.com/jobdetails/2659
Commerce,Andhra Pradesh Medical Services Recruitment Board (APMSRB),1,25000,30,3+,Any Degree,https://jobyaari.com/jobdetails/2692
Commerce,MAHARASHTRA NATIONAL LAW UNIVERSITY MUMBAI(MNLU-MUMBAI),1,50000,30 - 45,Fresher,Any Degree,https://jobyaari.com/jobdetails/2735
Education,REGIONAL INSTITUTE OF EDUCATION AJMER(RIE AJMER),2,26250,35,Fresher,"Bachelor Of Education [B.Ed],TGT",https://jobyaari.com/jobdetails/2751
Education,REGIONAL INSTITUTE OF EDUCATION AJMER(RIE AJMER),2,45000,Check Notification,Fresher,Bachelor Of Education [B.Ed],https://jobyaari.com/jobdetails/2744
Education,Himachal Pradesh Rajya Chayan Aayog (HPRCA),5,35600 - 112800,18 - 45,Fresher,Diploma,https://jobyaari.com/jobdetails/2363
Education,Himachal Pradesh Rajya Chayan Aayog (HPRCA),2,28900 - 91600,18 - 45,3+,Bachelor Of Education [B.Ed],https://jobyaari.com/jobdetails/2356
Education,Satluj Jal Vidyut Nigam Limited (SJVN),10,23000,30,10+,Any Degree,https://jobyaari.com/jobdetails/2070
Education,National Capital Region Planning Board (NCRPB),1,44900 - 142400,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2418
Education,National Capital Region Planning Board (NCRPB),2,25500 - 81100,28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2419
Education,Bihar Public Service Commission (BPSC),935,29200,21 - 37,Fresher,Any Degree,https://jobyaari.com/jobdetails/2576
Education,Indian Oil Corporation Limited (IOCL),537,Check Notification,18 - 24,Fresher,Any Degree,https://jobyaari.com/jobdetails/2584
Education,Institute of Banking Personnel Selection (IBPS),10277,24050 - 64480,20 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2594
Education,Institute of Banking Personnel Selection (IBPS),7842,Check Notification,18 - 28,Fresher,Any Degree,https://jobyaari.com/jobdetails/2598
Education,Central Council for Research in Ayurvedic Sciences (CCRAS),13,"Level 6, as per 7th CPC",30,Fresher,Any Degree,https://jobyaari.com/jobdetails/2638
Education,Central Council for Research in Ayurvedic Sciences (CCRAS),39,"Level 4, as per 7th CPC",27,Fresher,Any Degree,https://jobyaari.com/jobdetails/2650
Education,Central Council for Research in Ayurvedic Sciences (CCRAS),1,"Level 5, as per 7th CPC",30,3+,Any Degree,https://jobyaari.com/jobdetails/2659
Education,Andhra Pradesh Medical Services Recruitment Board (APMSRB),1,25000,30,3+,Any Degree,https://jobyaari.com/jobdetails/2692
Education,MAHARASHTRA NATIONAL LAW UNIVERSITY MUMBAI(MNLU-MUMBAI),1,50000,30 - 45,Fresher,Any Degree,https://jobyaari.com/jobdetails/2735
